,gene_name,entrez_id
841,CCDC110,256309
842,C1orf194,127003
843,ABCA3,21
844,PPM1H,57460
845,ADAP2,55803
846,GJC1,10052
847,TBC1D23,55773
848,KLHL35,283212
849,KCNAB1,7881
850,FAM169A,26049
851,SMC2,10592
852,NBPF12,149013
853,BROX,148362
854,ZFP91,80829
855,OR4K15,81127
856,MDH1B,130752
857,C9orf64,84267
858,PAK1IP1,55003
859,HNRNPH3,3189
860,CLGN,1047
861,EFHD2,79180
862,EEA1,8411
863,MYL9,10398
864,TJP2,9414
865,ARAP2,116984
866,PDE6D,5147
867,CCR4,1233
868,VEGFA,7422
869,RAB4B,53916
870,ANO7,50636
871,MAB21L1,4081
872,PEX11G,92960
873,TXNDC17,84817
874,CD96,10225
875,ZMYM6,9204
876,DCC,1630
877,NCAM2,4685
878,AGBL4,84871
879,SSH1,54434
880,ASPDH,554235
881,PSMC2,5701
882,DEFB114,245928
883,GFRA4,64096
884,COL24A1,255631
885,BIK,638
886,HTATIP2,10553
887,LTK,4058
888,RTN4R,65078
889,PCDHB3,56132
890,RP2,6102
891,CNIH4,29097
892,MCM7,4176
893,TBC1D10B,26000
894,ALKAL2,285016
895,VWA2,340706
896,PLEKHD1,400224
897,RHBDF1,64285
898,MOS,4342
899,APOC2,344
900,VPS28,51160
901,FZD7,8324
902,CNKSR1,10256
903,TNN,63923
904,NUDT21,11051
905,CLEC3A,10143
906,MRC1,4360
907,ACOT13,55856
908,EFHC1,114327
909,GLDC,2731
910,KCNN2,3781
911,NRAP,4892
912,SERPINB4,6318
913,RIMKLB,57494
914,PHGR1,644844
915,PTRH2,51651
916,ABCA2,20
917,MCF2,4168
918,ZNF217,7764
919,JADE3,9767
920,ZNF443,10224
921,SPTLC2,9517
922,PHGDH,26227
923,SDF2,6388
924,WDR37,22884
925,NFATC2,4773
926,NISCH,11188
927,C2orf72,257407
928,FAM219B,57184
929,FAM117A,81558
930,USP12,219333
931,EFHB,151651
932,TANC2,26115
933,GLT8D1,55830
934,ATP6V0E2,155066
935,OR7D4,125958
936,GREM2,64388
937,TWSG1,57045
938,C1orf74,148304
939,FAM160A1,729830
940,TCF24,100129654
941,WBP11,51729
942,ANKRD54,129138
943,CNOT3,4849
944,PSMD8,5714
945,PAPPA,5069
946,THRB,7068
947,GGCX,2677
948,MC3R,4159
949,AOC1,26
950,CYP27A1,1593
951,PNMA6F,105373377
952,SLC5A10,125206
953,NUBP1,4682
954,ZFYVE1,53349
955,LIMA1,51474
956,MXD1,4084
957,DDX6,1656
958,PCBD1,5092
959,EML4,27436
960,SIX2,10736
961,C3orf20,84077
962,ETF1,2107
963,HOXC5,3222
964,CDK16,5127
965,FHIT,2272
966,PIK3R5,23533
967,OR51Q1,390061
968,C12orf40,283461
969,WDR88,126248
970,NEU1,4758
971,VSTM2B,342865
972,TUBE1,51175
973,BCAS2,10286
974,FKRP,79147
975,SARAF,51669
976,FSCN3,29999
977,TOP1MT,116447
978,SEC14L5,9717
979,PAG1,55824
980,BRWD3,254065
981,WHAMM,123720
982,POLR3E,55718
983,TRPM2,7226
984,RPL34,6164
985,PRPF38A,84950
986,GTF2A2,2958
987,CHMP2B,25978
988,DNAJC30,84277
989,SLC12A9,56996
990,MTFMT,123263
991,SLC23A2,9962
992,HBE1,3046
993,PRM3,58531
994,SULT1B1,27284
995,TMEM128,85013
996,PDLIM1,9124
997,FRMD1,79981
998,PFDN2,5202
999,ZNF490,57474
1000,MAZ,4150
1001,NFIC,4782
1002,DDX19A,55308
1003,GNG5,2787
1004,GYPE,2996
1005,PCDHA3,56145
1006,C11orf42,160298
1007,SLITRK4,139065
1008,CCDC185,164127
1009,DNM2,1785
1010,TMEM117,84216
1011,C12orf60,144608
1012,RABGEF1,27342
1013,GH1,2688
1014,INSL3,3640
1015,RASSF10,644943
1016,PDCD5,9141
1017,CLDND1,56650
1018,GLYR1,84656
1019,CAMK4,814
1020,POLR2I,5438
1021,NNAT,4826
1022,FLT1,2321
1023,SFT2D1,113402
1024,KIF19,124602
1025,BCOR,54880
1026,PF4V1,5197
1027,RIC3,79608
1028,KRTAP10-1,386677
1029,TKTL2,84076
1030,TRAPPC9,83696
1031,CCDC102A,92922
1032,ACMSD,130013
1033,ARMCX2,9823
1034,B3GALT5,10317
1035,MASTL,84930
1036,LRRC71,149499
1037,TRPM7,54822
1038,RGR,5995
1039,MED25,81857
1040,ABCG8,64241
1041,IL22RA2,116379
1042,ASRGL1,80150
1043,TOPORS,10210
1044,ANAPC4,29945
1045,LAIR1,3903
1046,TLR5,7100
1047,CYP2J2,1573
1048,RABL2A,11159
1049,PDE8B,8622
1050,TSPYL1,7259
1051,AKR1D1,6718
1052,RAB11FIP1,80223
1053,EIF3E,3646
1054,ECHDC2,55268
1055,TEX13D,100132015
1056,OGFOD2,79676
1057,RALGAPB,57148
1058,CD63,967
1059,SLC52A2,79581
1060,TAGLN,6876
1061,ENG,2022
1062,SPDYA,245711
1063,CLEC4D,338339
1064,TAS2R40,259286
1065,MTHFD2,10797
1066,MTMR9,66036
1067,PATE2,399967
1068,PAX2,5076
1069,CRTAM,56253
1070,IPO4,79711
1071,GYG2,8908
1072,DPYSL4,10570
1073,KRR1,11103
1074,NUDT2,318
1075,SYTL5,94122
1076,OR10H4,126541
1077,SMC4,10051
1078,F7,2155
1079,ZNF792,126375
1080,RANBP1,5902
1081,ZBTB45,84878
1082,ZBTB11,27107
1083,KRTAP10-6,386674
1084,TMEM217,221468
1085,ZNF844,284391
1086,RSPH6A,81492
1087,UBAP2L,9898
1088,HACD3,51495
1089,SLC25A53,401612
1090,RAB43,339122
1091,PCDHB2,56133
1092,LTB,4050
1093,IFFO2,126917
1094,P3H2,55214
1095,KLF14,136259
1096,FNBP1L,54874
1097,PIN1,5300
1098,FBXO31,79791
1099,GAGE12C,729422
1100,C1QTNF3,114899
1101,PDS5A,23244
1102,ARL6IP4,51329
1103,OR52E4,390081
1104,PVALEF,388428
1105,SEC23IP,11196
1106,OCEL1,79629
1107,KHDRBS3,10656
1108,FAHD2A,51011
1109,RTL4,340595
1110,TCF7L1,83439
1111,ANAPC7,51434
1112,TAS1R2,80834
1113,GABRD,2563
1114,ADAMTS14,140766
1115,OR6A2,8590
1116,RDH13,112724
1117,SST,6750
1118,DDX39A,10212
1119,CAMK1D,57118
1120,NCDN,23154
1121,TOM1L2,146691
1122,ROPN1,54763
1123,FRG1,2483
1124,AP3S1,1176
1125,TTLL3,26140
1126,GPR19,2842
1127,ZNF316,100131017
1128,SETD9,133383
1129,RETREG3,162427
1130,SGTB,54557
1131,VWF,7450
1132,DPY19L3,147991
1133,CHRNA1,1134
1134,RNF215,200312
1135,ARHGAP5,394
1136,OR10Z1,128368
1137,LAPTM4A,9741
1138,ICE1,23379
1139,IRF5,3663
1140,AKAP11,11215
1141,CYP3A4,1576
1142,OLFML2B,25903
1143,OR5M9,390162
1144,NUDT13,25961
1145,SHF,90525
1146,LYSMD2,256586
1147,SLC25A1,6576
1148,PERP,64065
1149,TEX49,255411
1150,PLA2G4F,255189
1151,PRDM6,93166
1152,HMGN5,79366
1153,SLBP,7884
1154,PKIB,5570
1155,PCDHGA6,56109
1156,RIMBP2,23504
1157,MLXIP,22877
1158,KDM8,79831
1159,ACTN4,81
1160,MPP3,4356
1161,RNF185,91445
1162,RWDD2A,112611
1163,TMEM164,84187
1164,SAXO2,283726
1165,SERINC3,10955
1166,PLA2G6,8398
1167,DAPP1,27071
1168,USF1,7391
1169,DNMBP,23268
1170,ABAT,18
1171,RCAN1,1827
1172,FURIN,5045
1173,DLX4,1748
1174,TULP4,56995
1175,MTR,4548
1176,NKPD1,284353
1177,AHR,196
1178,GSDME,1687
1179,ANKRD33,341405
1180,INHBA,3624
1181,SIT1,27240
1182,GKAP1,80318
1183,MGAT5B,146664
1184,VIPR1,7433
1185,SEPHS2,22928
1186,PON2,5445
1187,ZNF578,147660
1188,MRPL19,9801
1189,PTRH1,138428
1190,CIITA,4261
1191,CPSF2,53981
1192,FABP12,646486
1193,BEX2,84707
1194,C1QTNF9B,387911
1195,UBE2E2,7325
1196,OR2M7,391196
1197,TNMD,64102
1198,IDE,3416
1199,C20orf202,400831
1200,NEMP1,23306
1201,IQGAP1,8826
1202,PTMS,5763
1203,PJVK,494513
1204,TRIB3,57761
1205,CENPL,91687
1206,MARCKS,4082
1207,EXTL3,2137
1208,KHDRBS2,202559
1209,TMEM80,283232
1210,RBM23,55147
1211,PROS1,5627
1212,LDHAL6A,160287
1213,ATP1A2,477
1214,SGPP1,81537
1215,RHBDF2,79651
1216,MRPS36,92259
1217,SPR,6697
1218,POLR3G,10622
1219,SCGB3A2,117156
1220,YWHAZ,7534
1221,SELP,6403
1222,IRX4,50805
1223,TMEM229A,730130
1224,PPAN,56342
1225,SELENOO,83642
1226,CRADD,8738
1227,PINLYP,390940
1228,SPATA33,124045
1229,MMP23B,8510
1230,CHST3,9469
1231,TMEM242,729515
1232,CCDC183,84960
1233,SETSIP,646817
1234,RNF141,50862
1235,KLHDC9,126823
1236,CFL2,1073
1237,NRSN2,80023
1238,SLITRK3,22865
1239,C4orf47,441054
1240,HIC1,3090
1241,DECR1,1666
1242,PNMA2,10687
1243,IGSF23,147710
1244,TENM3,55714
1245,KIDINS220,57498
1246,NPR2,4882
1247,USP22,23326
1248,B4GALT4,8702
1249,HOXC8,3224
1250,SCPEP1,59342
1251,TAF13,6884
1252,RTRAF,51637
1253,GPR137B,7107
1254,THG1L,54974
1255,CRABP1,1381
1256,ING5,84289
