,gene_name,entrez_id,ensembl_id
410,SPR,6697,ENSG00000116096
411,SPTAN1,6709,ENSG00000197694
412,SRC,6714,ENSG00000197122
413,STAT1,6772,ENSG00000115415
414,STAT3,6774,ENSG00000168610
415,STAT5B,6777,ENSG00000173757
416,AURKA,6790,ENSG00000087586
417,STK10,6793,ENSG00000072786
418,STX1A,6804,ENSG00000106089
419,STX4,6810,ENSG00000103496
420,STXBP1,6812,ENSG00000136854
421,STXBP2,6813,ENSG00000076944
422,STXBP2,6813,ENSG00000268400
423,SUPV3L1,6832,ENSG00000156502
424,SUV39H1,6839,ENSG00000101945
425,SYK,6850,ENSG00000165025
426,SYPL1,6856,ENSG00000008282
427,TARBP1,6894,ENSG00000059588
428,TBP,6908,ENSG00000112592
429,TBX2,6909,ENSG00000121068
430,TBXA2R,6915,ENSG00000006638
431,TCEA2,6919,ENSG00000171703
432,VPS72,6944,ENSG00000163159
433,TCTA,6988,ENSG00000145022
434,DYNLT3,6990,ENSG00000165169
435,TERT,7015,ENSG00000164362
436,TESK1,7016,ENSG00000107140
437,TFAP2A,7020,ENSG00000137203
438,TFDP1,7027,ENSG00000198176
439,TGFB3,7043,ENSG00000119699
440,TGFBR2,7048,ENSG00000163513
441,TIAM1,7074,ENSG00000156299
442,TIMP2,7077,ENSG00000035862
443,TJP1,7082,ENSG00000104067
444,TLE1,7088,ENSG00000196781
445,TLR4,7099,ENSG00000136869
446,TSPAN6,7105,ENSG00000000003
447,TSPAN4,7106,ENSG00000214063
448,TOP2A,7153,ENSG00000131747
449,TP53,7157,ENSG00000141510
450,TP53BP1,7158,ENSG00000067369
451,TP53BP2,7159,ENSG00000143514
452,TPD52L2,7165,ENSG00000101150
453,TPM1,7168,ENSG00000140416
454,TSTA3,7264,ENSG00000104522
455,TXNRD1,7296,ENSG00000198431
456,UBE2A,7319,ENSG00000077721
457,UGDH,7358,ENSG00000109814
458,NR1H2,7376,ENSG00000131408
459,USP1,7398,ENSG00000162607
460,VDAC1,7416,ENSG00000213585
461,WFS1,7466,ENSG00000109501
462,XBP1,7494,ENSG00000100219
463,XPNPEP1,7511,ENSG00000108039
464,ZFP36,7538,ENSG00000128016
465,ZNF131,7690,ENSG00000172262
466,ZMYM2,7750,ENSG00000121741
467,PAX8,7849,ENSG00000125618
468,CXCR4,7852,ENSG00000121966
469,IFRD2,7866,ENSG00000214706
470,MAPKAPK3,7867,ENSG00000114738
471,USP7,7874,ENSG00000187555
472,REEP5,7905,ENSG00000129625
473,KAT6A,7994,ENSG00000083168
474,PDHX,8050,ENSG00000110435
475,FOSL1,8061,ENSG00000175592
476,HMGA2,8091,ENSG00000149948
477,NCOA3,8202,ENSG00000124151
478,NRIP1,8204,ENSG00000180530
479,SMC1A,8243,ENSG00000072501
480,LAGE3,8270,ENSG00000196976
481,AXIN1,8312,ENSG00000103126
482,CDC45,8318,ENSG00000093009
483,FZD1,8321,ENSG00000157240
484,FZD7,8324,ENSG00000155760
485,PIP4K2B,8396,ENSG00000276293
486,NCK2,8440,ENSG00000071051
487,DYRK3,8444,ENSG00000143479
488,DUSP11,8446,ENSG00000144048
489,RAE1,8480,ENSG00000101146
490,PIK3R3,8503,ENSG00000117461
491,NIPSNAP1,8508,ENSG00000184117
492,ELP1,8518,ENSG00000070061
